# Profile Smoothing is Disabled
#	O-		C_2-		S-		Au_3-		WS_3-		
#	15.9966		24.0023		31.9751		590.9316		279.9082		
#Sputter Time (s)	Intensity(Background Corrected)	Point-to-Point Normalization	Intensity(Background Corrected)	Point-to-Point Normalization	Intensity(Background Corrected)	Point-to-Point Normalization	Intensity(Background Corrected)	Point-to-Point Normalization	Intensity(Background Corrected)	Point-to-Point Normalization	
0	24178.6	0.0202425	4643.84	0.00388786	270.225	0.000226235	4527.63	0.00379057	590.69	0.000494531	
10	2976.65	0.022669	415.445	0.00316387	22.0021	0.00016756	2084.64	0.0158758	74.0188	0.000563699	
20	1237.95	0.020604	127.043	0.00211446	17.0013	0.000282964	1772.43	0.0294996	47.0059	0.000782349	
30	1004.58	0.0234278	64.0114	0.0014928	18.001	0.0004198	1677.49	0.0391207	34.0031	0.000792983	
40	884.002	0.0244564	23.0013	0.000636346	9.00034	0.000249	1783.36	0.0493377	27.0024	0.000747037	
50	884.038	0.0290125	11.0005	0.000361015	9.00025	0.000295371	1638.05	0.0537578	17.0007	0.000557932	
60	736.385	0.0266874	4.00006	0.000144967	4.00004	0.000144966	1639.16	0.059405	17.0007	0.000616125	
70	753.465	0.030938	9.00025	0.000369559	3.00004	0.000123185	1609.95	0.0661061	13.0007	0.000533822	
80	627.024	0.0312746	6.00009	0.000299271	1.00002	4.98789e-005	1418.28	0.0707405	13.0006	0.000648443	
90	552.779	0.0311811	4.00008	0.000225636	2.00003	0.000112818	1281.38	0.0722801	6.00016	0.000338457	
100	560.799	0.0315659	8.00016	0.000450308	2.00002	0.000112576	1507.99	0.0848807	10.0003	0.00056289	
110	605.939	0.0339747	5.00009	0.000280353	2.00002	0.00011214	1568.53	0.087947	11.0003	0.000616782	
120	562.81	0.0320946	6.00012	0.00034216	2.00001	0.000114052	1639.12	0.0934718	4.00008	0.000228107	
130	501.642	0.0286767	5.00006	0.000285832	1	5.71659e-005	1692.61	0.0967592	10.0003	0.000571675	
140	516.686	0.0283038	3.00002	0.00016434	2.00003	0.000109561	1901.5	0.104163	6.00009	0.000328682	
150	505.66	0.0269844	5.00009	0.000266828	2.00002	0.00010673	2020.9	0.107845	4.0001	0.000213464	
160	394.397	0.0256803	5.00011	0.000325571	1	6.51128e-005	1702.64	0.110863	3.00002	0.000195339	
170	229.133	0.0240358	2.00002	0.0002098	0	0	1100.21	0.115411	2.00002	0.0002098	
180	212.118	0.0242116	2.00002	0.000228287	0	0	1105.27	0.126159	1.00001	0.000114144	
190	171.075	0.0179155	4.00006	0.000418898	0	0	963.484	0.100899	0	0	
200	129.044	0.0134743	0	0	0	0	975.49	0.101858	2.00003	0.000208837	
210	113.032	0.0149218	3.00002	0.000396043	1.00001	0.000132014	1023.78	0.135153	2.00002	0.000264029	
220	86.0192	0.0129158	3.00002	0.000450454	0	0	970.49	0.145719	0	0	
230	104.028	0.0159478	9.00021	0.00137976	0	0	990.587	0.151861	0	0	
240	86.0188	0.0130569	8.00016	0.00121435	0	0	967.514	0.14686	0	0	
250	108.03	0.0165537	6.00009	0.000919413	0	0	946.356	0.145013	0	0	
260	59.0089	0.00958403	4.00004	0.000649674	0	0	932.283	0.151418	0	0	
270	73.0139	0.01243	5.00006	0.00085122	1	0.000170242	908.177	0.15461	0	0	
280	58.0086	0.00975098	11.0004	0.00184911	0	0	937.355	0.157565	2.00001	0.000336193	
290	51.0074	0.00848991	6.00015	0.000998694	0	0	1026.8	0.170905	0	0	
300	55.008	0.00963531	5.00006	0.000875821	0	0	978.535	0.171402	0	0	
310	53.0074	0.00908439	4.00006	0.000685529	0	0	917.257	0.157199	0	0	
320	54.0077	0.00966667	3.00002	0.000536965	0	0	878.018	0.157154	0	0	
330	65.0114	0.0108806	8.00016	0.00133894	0	0	1046.94	0.17522	0	0	
340	55.0077	0.00828929	2.00001	0.000301388	0	0	1149.5	0.173222	1	0.000150694	
350	70.0125	0.00942929	4.00006	0.000538729	0	0	1317.66	0.177463	0	0	
360	69.0128	0.0082998	8.00016	0.000962136	0	0	1411.28	0.169727	0	0	
370	80.0167	0.00836382	11.0004	0.00114982	0	0	1607.9	0.168067	0	0	
380	87.021	0.00789521	9.00021	0.000816567	1	9.07279e-005	1934.02	0.175469	1.00001	9.07283e-005	
390	106.029	0.00850201	13.0004	0.00104245	0	0	2157.34	0.172988	4.00004	0.000320747	
400	107.029	0.00801296	14.0005	0.00104818	0	0	2368.84	0.177348	1.00001	7.48677e-005	
410	110.032	0.00822119	15.0006	0.00112079	1	7.47163e-005	2381.06	0.177903	1	7.47163e-005	
420	59.0092	0.00952683	5.00009	0.000807247	0	0	1083.15	0.174872	0	0	
430	56.008	0.0098415	4.00004	0.000702871	0	0	986.581	0.173358	0	0	
440	45.0051	0.00838085	8.0002	0.0014898	0	0	927.268	0.172676	1	0.00018622	
450	45.0051	0.00832658	7.00016	0.00129513	0	0	974.55	0.180305	1	0.000185014	
460	36.0035	0.00683567	11.0003	0.00208853	0	0	875.02	0.166132	0	0	
470	33.0029	0.00676428	11.0003	0.00225462	0	0	851.934	0.174612	0	0	
480	42.0045	0.00806693	8.00016	0.00153642	0	0	952.4	0.182908	0	0	
490	41.0045	0.00805115	3.00004	0.000589051	0	0	900.149	0.176742	0	0	
500	34.0029	0.00670141	6.00012	0.00118252	0	0	895.121	0.176413	0	0	
510	42.0045	0.00833588	4.00006	0.00079382	0	0	885.075	0.175645	1.00001	0.000198454	
520	36.0033	0.00715487	5.00006	0.000993653	0	0	890.129	0.176894	0	0	
